,pre_pt_root_id,post_pt_root_id,neuropil,syn_count,nt_type,Excitatory,Signed_Connectivity,Presynaptic_Index,Postsynaptic_Index
0,720575940623787495,720575940641400224,AVLP_L,2,ACH,1,2,150,153
1,720575940644968302,720575940612975853,AVLP_L,28,ACH,1,28,408,320
2,720575940627718394,720575940622065432,AVLP_L,1,GABA,-1,-1,443,193
3,720575940627174247,720575940603683505,AVLP_L,26,ACH,1,26,151,203
4,720575940621447077,720575940627827450,AVLP_L,24,ACH,1,24,156,275
5,720575940621447077,720575940623987982,AVLP_L,1,ACH,1,1,156,195
6,720575940623987982,720575940615200059,AVLP_L,1,GABA,-1,-1,195,448
7,720575940632649697,720575940603186790,AVLP_L,55,ACH,1,55,6,155
8,720575940630744019,720575940603683505,AVLP_L,21,ACH,1,21,168,203
9,720575940631425965,720575940649911286,AVLP_L,6,GABA,-1,-6,194,149
10,720575940627174247,720575940623787495,AVLP_L,8,ACH,1,8,151,150
11,720575940622065432,720575940610558357,AVLP_L,6,GABA,-1,-6,193,210
12,720575940628071696,720575940613531295,PVLP_L,5,ACH,1,5,314,316
13,720575940603683505,720575940621447077,AVLP_L,13,GABA,-1,-13,203,156
14,720575940622699196,720575940621713672,AVLP_L,14,ACH,1,14,166,204
15,720575940626042499,720575940627709801,AVLP_L,7,GABA,-1,-7,201,206
16,720575940649911286,720575940620929416,AVLP_L,20,ACH,1,20,149,202
17,720575940613034602,720575940641972384,AVLP_L,2,ACH,1,2,337,342
18,720575940621301274,720575940636533574,AVLP_L,2,GABA,-1,-2,417,414
19,720575940630744019,720575940627709801,AVLP_L,8,ACH,1,8,168,206
20,720575940623787495,720575940619249031,AVLP_L,2,ACH,1,2,150,148
21,720575940616941201,720575940633613026,SLP_L,1,ACH,1,1,345,245
22,720575940603186790,720575940603683505,AVLP_L,9,ACH,1,9,155,203
23,720575940618475101,720575940636471408,AVLP_L,3,ACH,1,3,467,340
24,720575940634126949,720575940627660905,AVLP_L,4,ACH,1,4,164,244
25,720575940617390027,720575940627827450,AVLP_L,1,GABA,-1,-1,212,275
26,720575940649911286,720575940648981881,AVLP_L,3,ACH,1,3,149,276
27,720575940619249031,720575940626042499,AVLP_L,43,ACH,1,43,148,201
28,720575940630744019,720575940623787495,AVLP_L,1,ACH,1,1,168,150
29,720575940630622803,720575940613917042,AVLP_L,1,ACH,1,1,239,247
30,720575940626042499,720575940632157631,AVLP_L,2,GABA,-1,-2,201,158
31,720575940623787495,720575940633613026,AVLP_L,3,ACH,1,3,150,245
32,720575940630203589,720575940628869391,AME_L,1,GABA,-1,-1,228,232
33,720575940627174247,720575940649911286,AVLP_L,2,ACH,1,2,151,149
34,720575940635403230,720575940628489516,AVLP_L,1,ACH,1,1,433,192
35,720575940622123981,720575940615930299,AMMC_R,1,GABA,-1,-1,170,390
36,720575940644488727,720575940611939314,SAD,1,,-1,-1,428,1497
37,720575940628111875,720575940632499757,AMMC_R,1,ACH,1,1,969,135
38,720575940604299454,720575940618056753,GNG,1,,-1,-1,1446,561
39,720575940611335859,720575940620622785,AMMC_L,7,GABA,-1,-7,295,749
40,720575940618856896,720575940630258003,AMMC_L,1,,-1,-1,764,400
41,720575940611674265,720575940632499757,AMMC_R,3,GABA,-1,-3,388,135
42,720575940629706496,720575940654117025,AMMC_R,5,,-1,-5,1063,38
43,720575940627642818,720575940609014370,AVLP_R,12,GABA,-1,-12,198,199
44,720575940639648573,720575940612341490,SAD,1,,-1,-1,1333,1346
45,720575940623474871,720575940635282910,AMMC_L,7,ACH,1,7,809,55
46,720575940621835246,720575940610077026,AVLP_R,1,GABA,-1,-1,385,21
47,720575940617362772,720575940620356557,GOR_R,2,ACH,1,2,324,325
48,720575940629954724,720575940627827450,AVLP_L,3,ACH,1,3,152,275
49,720575940636679989,720575940621148660,WED_L,30,ACH,1,30,28,176
50,720575940616804806,720575940626228329,AVLP_R,1,ACH,1,1,67,217
51,720575940645497140,720575940622329212,IPS_L,1,GABA,-1,-1,291,996
52,720575940644036644,720575940650920569,SAD,9,,-1,-9,1243,501
53,720575940632945177,720575940604201830,AMMC_L,17,GABA,-1,-17,180,184
54,720575940620931348,720575940613170498,ICL_R,1,ACH,1,1,475,453
55,720575940629492727,720575940613006590,AMMC_L,1,,-1,-1,688,789
56,720575940612478181,720575940624109464,AMMC_R,4,ACH,1,4,1593,114
57,720575940614190242,720575940617575760,WED_L,5,ACH,1,5,502,373
58,720575940623849496,720575940629349340,ICL_L,2,GABA,-1,-2,359,358
59,720575940635403230,720575940618475101,SCL_L,1,ACH,1,1,433,467
60,720575940630037073,720575940634371941,ICL_L,1,ACH,1,1,312,310
61,720575940645497140,720575940659131009,AMMC_L,3,GABA,-1,-3,291,1261
62,720575940622199977,720575940617811013,SAD,1,ACH,1,1,1206,1273
63,720575940634701407,720575940617882397,SAD,1,ACH,1,1,102,79
64,720575940632717988,720575940626135548,AL_L,1,,-1,-1,958,935
65,720575940630214564,720575940629394232,IPS_L,2,ACH,1,2,498,499
66,720575940620835327,720575940632998136,AMMC_L,13,GABA,-1,-13,174,396
67,720575940605627424,720575940628218976,SAD,1,,-1,-1,953,651
68,720575940619942859,720575940627455621,SPS_L,1,ACH,1,1,16,76
