JO_neuron,Cluster,pre_root_id
JO-A_L16,1,720575940626949513
JO-A_L21,1,720575940627442197
JO-A_L31,1,720575940637418549
JO-A_L1,1,720575940627046010
JO-A_L6,1,720575940638256949
JO-A_L2,1,720575940621340429
JO-A_L38,1,720575940626164938
JO-A_L8,1,720575940630018115
JO-A_L24,1,720575940625227672
JO-A_L40,1,720575940623840589
JO-A_L39,1,720575940625917386
JO-A_L26,1,720575940623189799
JO-A_L47,1,720575940626522620
JO-A_L27,1,720575940627195691
JO-A_L32,1,720575940621110454
JO-A_L14,2,720575940627538947
JO-A_L36,2,720575940614544582
JO-A_L37,2,720575940620322753
JO-A_L46,2,720575940614927989
JO-A_L29,2,720575940618056753
JO-A_L42,2,720575940628769239
JO-A_L48,2,720575940629450366
JO-A_L18,2,720575940608457483
JO-A_L3,2,720575940617534110
JO-A_L35,2,720575940608554052
JO-A_L17,2,720575940627142666
JO-A_L4,2,720575940620649641
JO-A_L34,2,720575940619508033
JO-A_L43,2,720575940613682911
JO-A_L22,2,720575940633057943
JO-A_L9,2,720575940622591049
JO-A_L23,2,720575940621464344
JO-A_L30,2,720575940607059122
JO-A_L45,3,720575940611177586
JO-A_L19,3,720575940642163341
JO-A_L28,3,720575940619694512
JO-A_L41,3,720575940631156431
JO-A_L7,3,720575940630017603
JO-A_L13,3,720575940629044071
JO-A_L5,3,720575940632669741
JO-A_L15,3,720575940628356358
JO-A_L12,3,720575940620745825
JO-A_L44,3,720575940634414959
JO-A_L11,3,720575940607367125
JO-A_L25,3,720575940624670759
JO-A_L33,3,720575940618770625
JO-A_L10,3,720575940606612937
JO-A_L20,3,720575940626242191
JO-B_L124,4,720575940613934965
JO-B_L40,4,720575940621823514
JO-B_L132,4,720575940627249039
JO-B_L145,4,720575940643791304
JO-B_L75,4,720575940623474871
JO-B_L154,4,720575940628543473
JO-B_L69,4,720575940620386981
JO-B_L152,4,720575940630462940
JO-B_L34,4,720575940622026757
JO-B_L97,4,720575940610595118
JO-B_L140,4,720575940612418483
JO-B_L74,4,720575940612419763
JO-B_L49,4,720575940638191679
JO-B_L80,4,720575940619941067
JO-B_L116,4,720575940621120353
JO-B_L43,4,720575940605755424
JO-B_L55,4,720575940622552163
JO-B_L44,4,720575940632129567
JO-B_L48,4,720575940637612095
JO-B_L127,4,720575940639649152
JO-B_L138,4,720575940604805036
JO-B_L19,4,720575940630660951
JO-B_L101,4,720575940637630783
JO-B_L3,4,720575940627442709
JO-B_L163,5,720575940617244049
JO-B_L77,5,720575940627927751
JO-B_L166,5,720575940614805983
JO-B_L4,5,720575940604531229
JO-B_L15,5,720575940625587970
JO-B_L12,5,720575940632692378
JO-B_L122,5,720575940641396078
JO-B_L29,5,720575940638636533
JO-B_L6,5,720575940609934365
JO-B_L11,5,720575940613127314
JO-B_L22,5,720575940632466784
JO-B_L13,5,720575940612235439
JO-B_L5,5,720575940612409885
JO-B_L119,5,720575940631699816
JO-B_L85,5,720575940613006590
JO-B_L159,6,720575940639803453
JO-B_L58,6,720575940628159081
JO-B_L60,6,720575940629806206
JO-B_L110,6,720575940631794513
JO-B_L59,6,720575940616653429
JO-B_L93,6,720575940620422938
JO-B_L46,6,720575940636990005
JO-B_L83,6,720575940630467804
JO-B_L126,6,720575940629804414
JO-B_L56,6,720575940634892389
JO-B_L102,6,720575940619447105
JO-B_L28,6,720575940624755180
JO-B_L39,6,720575940622344216
JO-B_L106,7,720575940626885960
JO-B_L160,7,720575940637919295
JO-B_L7,7,720575940600433181
JO-B_L79,7,720575940606938313
JO-B_L84,7,720575940635217144
JO-B_L67,7,720575940628910235
JO-B_L95,7,720575940609527069
JO-B_L96,7,720575940612407581
JO-B_L117,7,720575940635237727
JO-B_L71,7,720575940604054188
JO-B_L129,7,720575940607088514
JO-B_L14,7,720575940621508336
JO-B_L161,7,720575940634775706
JO-B_L21,7,720575940634830175
JO-B_L115,7,720575940621513566
JO-B_L30,7,720575940629350394
JO-B_L76,7,720575940615387846
JO-B_L45,7,720575940629275180
JO-B_L31,7,720575940623292925
JO-B_L42,7,720575940617541147
JO-B_L1,7,720575940632229457
JO-B_L73,7,720575940612355763
JO-B_L54,8,720575940634178656
JO-B_L98,8,720575940610621742
JO-B_L146,8,720575940606871497
JO-B_L32,8,720575940627304963
JO-B_L9,8,720575940639145550
JO-B_L91,8,720575940645086999
JO-B_L118,8,720575940635973989
JO-B_L47,8,720575940639745085
JO-B_L66,8,720575940634229399
JO-B_L108,8,720575940628786511
JO-B_L87,8,720575940622978823
JO-B_L114,9,720575940615860061
JO-B_L89,9,720575940614205708
JO-B_L18,9,720575940630630225
JO-B_L90,9,720575940645085975
JO-B_L57,9,720575940615540841
JO-B_L113,9,720575940625049945
JO-B_L88,9,720575940628467462
JO-B_L94,9,720575940645089559
JO-B_L149,9,720575940610739666
JO-B_L156,9,720575940630269945
JO-B_L100,9,720575940636537663
JO-B_L137,9,720575940622342569
JO-B_L20,9,720575940639049560
JO-B_L26,9,720575940606619081
JO-B_L103,9,720575940637919551
JO-B_L86,9,720575940626693894
JO-B_L92,9,720575940645087511
JO-B_L109,9,720575940627453778
JO-B_L151,9,720575940640169947
JO-B_L150,9,720575940611392986
JO-B_L2,9,720575940630925330
JO-B_L120,9,720575940630461804
JO-B_L105,9,720575940626257736
JO-B_L17,9,720575940623745869
JO-B_L38,10,720575940612446744
JO-B_L24,10,720575940639397747
JO-B_L16,10,720575940622960422
JO-B_L134,10,720575940625972624
JO-B_L8,10,720575940644057635
