,label,root_id
0,A1_L1,720575940631693610
1,A1_L2,720575940631200327
2,A1_L3,720575940618522433
3,A1_R1,720575940612001489
4,A1_R2,720575940616313942
5,A2_L,720575940638214461
6,A2_R,720575940632649697
7,B1-1_L1,720575940626562570
8,B1-1_L2,720575940635547113
9,B1-1_L3,720575940629913169
10,B1-1_L4,720575940609843865
11,B1-1_L5,720575940622097959
12,B1-1_L6,720575940625683176
13,B1-1_R1,720575940630223052
14,B1-1_R2,720575940611277293
15,B1-1_R3,720575940616809401
16,B1-1_R4,720575940619942859
17,B1-1_R5,720575940607188036
18,B1-1_R6,720575940606332629
19,B1-1_R7,720575940620694015
20,B1-2_L1,720575940627957719
21,B1-2_L2,720575940610077026
22,B1-2_L3,720575940632715359
23,B1-2_L4,720575940620758221
24,B1-2_L5,720575940607371076
25,B1-2_L6,720575940614450774
26,B1-2_L7,720575940618758753
27,B1-2_L8,720575940642412941
28,B1-2_R1,720575940636679989
29,B1-2_R2,720575940612523571
30,B1-2_R3,720575940604839200
31,B1-2_R4,720575940610358990
32,B1-2_R5,720575940627410944
33,B1-2_R6,720575940630603091
34,B1-2_R7,720575940612146174
35,B1-2_R8,720575940622254375
36,B1-3_L1,720575940628910095
37,B1-3_L2,720575940606010569
38,B1-3_L3,720575940654117025
39,B1-3_L4,720575940603636913
40,B1-3_R1,720575940624704393
41,B1-3_R2,720575940618066415
42,B1-3_R3,720575940619405812
43,B1-3_R4,720575940614840891
44,B1-4_L1,720575940617431325
45,B1-4_L2,720575940609076693
46,B1-4_L3,720575940609522382
47,B1-4_L4,720575940614633867
48,B1-4_L5,720575940613380914
49,B1-4_L6,720575940639241279
50,B1-4_L7,720575940606336213
51,B1-4_R1,720575940620980323
52,B1-4_R2,720575940627263375
53,B1-4_R3,720575940637663662
54,B1-4_R4,720575940614310802
55,B1-4_R5,720575940635282910
56,B1-4_R6,720575940618599277
57,B1-4_R7,720575940609673369
58,B1-5_L1,720575940615723077
59,B1-5_L2,720575940618409797
60,B1-5_L3,720575940621043753
61,B1-5_L4,720575940611864243
62,B1-5_L5,720575940634599792
63,B1-5_L6,720575940624087283
64,B1-5_L7,720575940631631564
65,B1-5_L8,720575940639205198
66,B1-5_L9,720575940609832410
67,B1-5_L10,720575940616804806
68,B1-5_R1,720575940621242025
69,B1-5_R2,720575940618392912
70,B1-5_R3,720575940634877850
71,B1-5_R4,720575940620731631
72,B1-5_R5,720575940616633925
73,B1-5_R6,720575940630277175
74,B1-5_R7,720575940628016983
75,B1-5_R8,720575940646400644
76,B1-5_R9,720575940627455621
77,B1-5_R10,720575940623233238
78,B1-5_R11,720575940621800798
79,B1-5_R12,720575940617882397
80,B1-5_R13,720575940622577336
81,B1-6_L1,720575940612153086
82,B1-6_L2,720575940621339686
83,B1-6_L3,720575940632829507
84,B1-6_L4,720575940611388141
85,B1-6_L5,720575940630131218
86,B1-6_L6,720575940625454596
87,B1-6_R1,720575940626153488
88,B1-6_R2,720575940646341486
89,B1-6_R3,720575940629063418
90,B1-6_R4,720575940644072483
91,B1-6_R5,720575940625483962
92,B1-6_R6,720575940607570185
93,B1-7_L1,720575940634606693
94,B1-7_L2,720575940619034806
95,B1-7_L3,720575940611988391
96,B1-7_L4,720575940613422860
97,B1-7_L5,720575940608035374
98,B1-7_L6,720575940626798101
99,B1-7_R1,720575940659098241
100,B1-7_R2,720575940603195494
101,B1-7_R3,720575940630028359
102,B1-7_R4,720575940634701407
103,B1-7_R5,720575940622004106
104,B1-7_R6,720575940615226086
105,B1-7_R7,720575940632084705
106,B1-7_R8,720575940622778820
107,B1-u_L1,720575940624795017
108,B1-u_L2,720575940609648395
109,B1-u_L3,720575940627235386
110,B1-u_L4,720575940624878602
111,B1-u_L5,720575940615408059
112,B1-u_L6,720575940621815766
113,B1-u_L7,720575940622168088
114,B1-u_L8,720575940624109464
115,B1-u_L9,720575940632122464
116,B1-u_L10,720575940634915576
117,B1-u_L11,720575940623873829
118,B1-u_L12,720575940644345652
119,B1-u_L13,720575940635054072
120,B1-u_L14,720575940637687605
121,B1-u_R1,720575940624872179
122,B1-u_R2,720575940618524481
123,B1-u_R3,720575940639696755
124,B1-u_R4,720575940603616800
125,B1-u_R5,720575940624245946
126,B1-u_R6,720575940623735482
127,B1-u_R7,720575940621575774
128,B1-u_R8,720575940610638434
129,B2_L1,720575940624700138
130,B2_L2,720575940620012253
131,B2_L3,720575940611597298
132,B2_R1,720575940625984528
133,B2_R2,720575940629065154
134,B2_R3,720575940613311151
135,GF_L,720575940632499757
136,GF_R,720575940622838154
137,WED-VLP-1_L1,720575940641359776
138,WED-VLP-1_L2,720575940609927141
139,WED-VLP-1_L3,720575940618833840
140,WED-VLP-1_L4,720575940620392984
