time_ms,neuron_index,group,side,type
0.2,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
0.4,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
0.5,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
0.7,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
0.8,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
1.0,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
1.1,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
1.4,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
1.4,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
1.5,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
1.9,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
2.0,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
2.0,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
2.1,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
2.1,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
2.3,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
2.3,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
2.3,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
2.5,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
2.8,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
2.8,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
2.9000000000000004,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
3.2,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
3.3,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
3.7,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
3.8,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
3.9000000000000004,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
3.9000000000000004,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
3.9000000000000004,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
4.0,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
4.0,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
4.0,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
4.2,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
4.2,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
4.3,"<spikemonitor.i: array([504, 532, 535, ..., 332, 456, 529], shape=(7850,), dtype=int32)>",JO-A,L,downstream
