,Neuron name,Current Root ID Spring 2023,id
0,A1_L1,720575940621039145,720575940631693610
1,A1_L2,720575940631200327,720575940631200327
2,A1_L3,720575940618522433,720575940618522433
3,A1_R1,720575940612001489,720575940612001489
4,A1_R2,720575940616313942,720575940616313942
5,A2_L,720575940603183718,720575940638214461
6,A2_R,720575940618206854,720575940632649697
7,B1-1_L1,720575940637107315,720575940626562570
8,B1-1_L2,720575940635547113,720575940635547113
9,B1-1_L3,720575940629913169,720575940629913169
10,B1-1_L4,720575940609843865,720575940609843865
11,B1-1_L5,720575940622097959,720575940622097959
12,B1-1_L6,720575940625683176,720575940625683176
13,B1-1_R1,720575940630223052,720575940630223052
14,B1-1_R2,720575940611277293,720575940611277293
15,B1-1_R3,720575940616809401,720575940616809401
16,B1-1_R4,720575940619942859,720575940619942859
17,B1-1_R5,720575940607188036,720575940607188036
18,B1-1_R6,720575940606332629,720575940606332629
19,B1-2_L1,720575940627957719,720575940627957719
20,B1-2_L2,720575940610077026,720575940610077026
21,B1-2_L3,720575940632715359,720575940632715359
22,B1-2_L4,720575940620758221,720575940620758221
23,B1-2_L5,720575940607371076,720575940607371076
24,B1-2_L6,720575940614450774,720575940614450774
25,B1-2_L7,720575940618758753,720575940618758753
26,B1-2_L8,720575940642412941,720575940642412941
27,B1-2_R1,720575940636679989,720575940636679989
28,B1-2_R2,720575940612523571,720575940612523571
29,B1-2_R3,720575940604839200,720575940604839200
30,B1-2_R4,720575940610358990,720575940610358990
31,B1-2_R5,720575940627410944,720575940627410944
32,B1-2_R6,720575940630603091,720575940630603091
33,B1-2_R7,720575940612146174,720575940612146174
34,B1-2_R8,720575940622254375,720575940622254375
35,B1-3_L1,720575940628910095,720575940628910095
36,B1-3_L2,720575940606010569,720575940606010569
37,B1-3_L3,720575940654117025,720575940654117025
38,B1-3_L4,720575940603636913,720575940603636913
39,B1-3_R1,720575940624704393,720575940624704393
40,B1-3_R2,720575940618066415,720575940618066415
41,B1-3_R3,720575940619405812,720575940619405812
42,B1-3_R4,720575940614840891,720575940614840891
43,B1-4_L1,720575940617431325,720575940617431325
44,B1-4_L2,720575940609076693,720575940609076693
45,B1-4_L3,720575940609522382,720575940609522382
46,B1-4_L4,720575940614633867,720575940614633867
47,B1-4_L5,720575940613380914,720575940613380914
48,B1-4_L6,720575940607183172,720575940639241279
49,B1-4_L7,720575940606336213,720575940606336213
50,B1-4_R1,720575940618795952,720575940620980323
51,B1-4_R2,720575940627197566,720575940627263375
52,B1-4_R3,720575940627408640,720575940637663662
53,B1-4_R4,720575940629806407,720575940614310802
54,B1-4_R5,720575940635282910,720575940635282910
55,B1-4_R6,720575940618599277,720575940618599277
56,B1-4_R7,720575940609673369,720575940609673369
57,B1-5_L1,720575940615723077,720575940615723077
58,B1-5_L2,720575940618409797,720575940618409797
59,B1-5_L3,720575940621043753,720575940621043753
60,B1-5_L4,720575940611864243,720575940611864243
61,B1-5_L5,720575940634599792,720575940634599792
62,B1-5_L6,720575940624087283,720575940624087283
63,B1-5_L7,720575940631631564,720575940631631564
64,B1-5_L8,720575940639205198,720575940639205198
