Neuron name,Codex July 2025
A1_R1,720575940631693610
A1_R2,720575940631200327
A1_R3,720575940618522433
A1_L1,720575940612001489
A1_L2,720575940616313942
A2_R1,720575940638214461
A2_R2,720575940625146122
A2_L1,720575940632649697
A2_L2,720575940629133071
B1-1_R1,720575940626562570
B1-1_R2,720575940635547113
B1-1_R3,720575940629913169
B1-1_R4,720575940609843865
B1-1_R5,720575940622097959
B1-1_R6,720575940625683176
B1-1_L1,720575940630223052
B1-1_L2,720575940611277293
B1-1_L3,720575940616809401
B1-1_L4,720575940619942859
B1-1_L5,720575940607188036
B1-1_L6,720575940606332629
B1-1_L7,720575940620694015
B1-2_R1,720575940627957719
B1-2_R2,720575940610077026
B1-2_R3,720575940632715359
B1-2_R4,720575940620758221
B1-2_R5,720575940607371076
B1-2_R6,720575940614450774
B1-2_R7,720575940618758753
B1-2_R8,720575940642412941
B1-2_L1,720575940636679989
B1-2_L2,720575940612523571
B1-2_L3,720575940604839200
B1-2_L4,720575940610358990
B1-2_L5,720575940627410944
B1-2_L6,720575940630603091
B1-2_L7,720575940612146174
B1-2_L8,720575940622254375
B1-3_R1,720575940628910095
B1-3_R2,720575940606010569
B1-3_R3,720575940654117025
B1-3_R4,720575940603636913
B1-3_L1,720575940624704393
B1-3_L2,720575940618066415
B1-3_L3,720575940619405812
B1-3_L4,720575940614840891
B1-4_R1,720575940617431325
B1-4_R2,720575940609076693
B1-4_R3,720575940609522382
B1-4_R4,720575940614633867
B1-4_R5,720575940613380914
B1-4_R6,720575940639241279
B1-4_R7,720575940606336213
B1-4_L1,720575940620980323
B1-4_L2,720575940627263375
B1-4_L3,720575940637663662
B1-4_L4,720575940614310802
B1-4_L5,720575940635282910
B1-4_L6,720575940618599277
B1-4_L7,720575940609673369
B1-5_R1,720575940615723077
B1-5_R2,720575940618409797
B1-5_R3,720575940621043753
B1-5_R4,720575940611864243
B1-5_R5,720575940634599792
B1-5_R6,720575940624087283
B1-5_R7,720575940631631564
B1-5_R8,720575940639205198
B1-5_R9,720575940609832410
B1-5_R10,720575940616804806
B1-5_L1,720575940621242025
B1-5_L2,720575940618392912
B1-5_L3,720575940634877850
B1-5_L4,720575940620731631
B1-5_L5,720575940616633925
B1-5_L6,720575940630277175
B1-5_L7,720575940628016983
B1-5_L8,720575940646400644
B1-5_L9,720575940627455621
B1-5_L10,720575940623233238
B1-5_L11,720575940621800798
B1-5_L12,720575940617882397
B1-5_L13,720575940622577336
B1-6_R1,720575940612153086
B1-6_R2,720575940621339686
B1-6_R3,720575940632829507
B1-6_R4,720575940611388141
B1-6_R5,720575940630131218
B1-6_R6,720575940625454596
B1-6_L1,720575940626153488
