,Neuron name,Codex July 2025,new_id
0,A1_R1,720575940631693610,720575940631693610
1,A1_R2,720575940631200327,720575940631200327
2,A1_R3,720575940618522433,720575940618522433
3,A1_L1,720575940612001489,720575940612001489
4,A1_L2,720575940616313942,720575940616313942
5,A2_R1,720575940638214461,720575940638214461
6,A2_R2,720575940625146122,720575940625146122
7,A2_L1,720575940632649697,720575940632649697
8,A2_L2,720575940629133071,720575940629133071
9,B1-1_R1,720575940626562570,720575940626562570
10,B1-1_R2,720575940635547113,720575940635547113
11,B1-1_R3,720575940629913169,720575940629913169
12,B1-1_R4,720575940609843865,720575940609843865
13,B1-1_R5,720575940622097959,720575940622097959
14,B1-1_R6,720575940625683176,720575940625683176
15,B1-1_L1,720575940630223052,720575940630223052
16,B1-1_L2,720575940611277293,720575940611277293
17,B1-1_L3,720575940616809401,720575940616809401
18,B1-1_L4,720575940619942859,720575940619942859
19,B1-1_L5,720575940607188036,720575940607188036
20,B1-1_L6,720575940606332629,720575940606332629
21,B1-1_L7,720575940620694015,720575940620694015
22,B1-2_R1,720575940627957719,720575940627957719
23,B1-2_R2,720575940610077026,720575940610077026
24,B1-2_R3,720575940632715359,720575940632715359
25,B1-2_R4,720575940620758221,720575940620758221
26,B1-2_R5,720575940607371076,720575940607371076
27,B1-2_R6,720575940614450774,720575940614450774
28,B1-2_R7,720575940618758753,720575940618758753
29,B1-2_R8,720575940642412941,720575940642412941
30,B1-2_L1,720575940636679989,720575940636679989
31,B1-2_L2,720575940612523571,720575940612523571
32,B1-2_L3,720575940604839200,720575940604839200
33,B1-2_L4,720575940610358990,720575940610358990
34,B1-2_L5,720575940627410944,720575940627410944
35,B1-2_L6,720575940630603091,720575940630603091
36,B1-2_L7,720575940612146174,720575940612146174
37,B1-2_L8,720575940622254375,720575940622254375
38,B1-3_R1,720575940628910095,720575940628910095
39,B1-3_R2,720575940606010569,720575940606010569
40,B1-3_R3,720575940654117025,720575940654117025
41,B1-3_R4,720575940603636913,720575940603636913
42,B1-3_L1,720575940624704393,720575940624704393
43,B1-3_L2,720575940618066415,720575940618066415
44,B1-3_L3,720575940619405812,720575940619405812
45,B1-3_L4,720575940614840891,720575940614840891
46,B1-4_R1,720575940617431325,720575940617431325
47,B1-4_R2,720575940609076693,720575940609076693
48,B1-4_R3,720575940609522382,720575940609522382
49,B1-4_R4,720575940614633867,720575940614633867
50,B1-4_R5,720575940613380914,720575940613380914
51,B1-4_R6,720575940639241279,720575940639241279
52,B1-4_R7,720575940606336213,720575940606336213
53,B1-4_L1,720575940620980323,720575940620980323
54,B1-4_L2,720575940627263375,720575940627263375
55,B1-4_L3,720575940637663662,720575940637663662
56,B1-4_L4,720575940614310802,720575940614310802
57,B1-4_L5,720575940635282910,720575940635282910
58,B1-4_L6,720575940618599277,720575940618599277
59,B1-4_L7,720575940609673369,720575940609673369
60,B1-5_R1,720575940615723077,720575940615723077
61,B1-5_R2,720575940618409797,720575940618409797
62,B1-5_R3,720575940621043753,720575940621043753
63,B1-5_R4,720575940611864243,720575940611864243
64,B1-5_R5,720575940634599792,720575940634599792
65,B1-5_R6,720575940624087283,720575940624087283
66,B1-5_R7,720575940631631564,720575940631631564
67,B1-5_R8,720575940639205198,720575940639205198
68,B1-5_R9,720575940609832410,720575940609832410
69,B1-5_R10,720575940616804806,720575940616804806
70,B1-5_L1,720575940621242025,720575940621242025
